canonical_gloss,synonyms,sid,FSW
один,1,7,M507x515S10000492x485
десять,10,40,M524x512S17618476x491S17610508x491S20602495x488
одиннадцать,11,81,M509x521S10000491x491S21b00501x479
два,2,8,M507x515S10e00492x485
два,2,23,M511x515S1dc01488x485
три,3,9,M511x515S11e00488x485
три,3,24,M512x515S11e01487x485
четыре,4,10,M511x515S14400489x484
пять,5,11,M511x515S14c00488x484
шесть,6,41,M533x518S14c28471x487S20500466x506S26503501x492S1f502518x482
семь,7,42,M534x517S20500465x506S14c28471x485S1de01513x484S26503500x494
8,"восемь, eight",236,M527x525S14c28479x494S20500473x513S11e01502x484S26503493x476
9,"девять, nine",237,M535x516S14c28473x485S14401507x487S20500466x503S26503495x485
автобус,a bas,244,M538x530S15418480x505S2fb06522x474S26702495x485S26712462x470S15440523x503
август,August,259,M512x525S20320493x510S2e500489x476
хлеб,bread,258,M533x520S15d39467x497S15d40514x483S20500470x486S20500491x509S2880b485x481
дела,business,254,M567x560S14c50508x460S14c58459x461S22520455x443S22520503x441S28b0e518x514S28b1e434x518S28b06523x494S28b06523x535S28b16439x499S28b16434x540S2fb04491x530
дела,business,255,M526x526S14c50481x495S26700510x476S22520474x475
февраль,February,256,M521x520S18210498x485S27102479x480
забыть,forget,245,M556x518S30000482x483S15d02489x456S1f502541x453S26606513x474
свобода,freedom,252,M572x525S1ce00501x491S1ce08475x493S2d608522x493S1ce28428x495S2d600448x491S1ce20550x494S2fb00490x475
дедушка,"дед, grand-father",240,M543x563S14404490x532S30004482x483S20500495x520S22624517x547
как,how,262,M515x515S11510500x485S21b00485x506
mama,,2,M522x537S2ff00482x482S15a10510x510S20500479x512S26502491x518
математика,Math,249,M564x540S14c51504x492S14c59468x492S26f01534x481S26f17436x479S2fb04490x534S22520453x460S22520513x461S20e00493x475
нужно,need,253,M565x542S1a530435x459S1a538544x458S22c03528x492S22c15455x496S2fb04495x536
октябрь,October,261,M521x515S1ce10499x485S21d00479x493
всегда,olvais,238,M526x538S30005482x483S10e00511x508S20500504x493S20500494x501
терпеть,"терпение, patience",250,M530x527S36d00479x474S14c10491x473S26704514x485S21100507x503
бесплатно,price free,239,M525x524S15a37476x491S15a51502x479S20e00480x476S26c07495x506
Ronald,Роланд,351,
russia,,113,M519x525S11541495x496S11549481x498S20600487x475
сентябрь,September,260,M512x528S16d10492x508S2e500489x473
спорт,sport,247,M593x527S36d00479x474S1f800512x481S1f808472x481S25b00534x484S25b10453x483S25704555x484S25714435x482S25b00577x483S25b10417x485
прятать,"спрятать, to hide",246,M522x534S18530478x496S18550491x519S2b700503x483S18530485x466S20500480x482
ждать,to wait,243,M562x521S14c10491x482S36d00479x480S26604528x491S21100519x494S26604546x491
хотеть,"хочу, to want",242,M521x518S36d00479x483S18211483x492S20500466x506S20500452x507
Работа,"работать, to work",241,M521x523S13f11477x486S20e00464x485S26a04494x509S36d00479x478
зачем?,why?,251,M550x519S36d00479x482S14c51523x483S2ad03494x496S21100510x501S2ad03468x496S2ad03481x496
Ё,,324,M516x522S17610485x506S2e230497x478
А,,318,M509x508S1f840491x493
Б,,319,M508x516S11710493x484
В,,320,M506x514S15a10494x487
Г,,321,M515x512S1dc03485x489
Д,,322,M510x525S11550495x495S2f100490x475
Е,,323,M508x508S17610492x492
Ж,,325,M513x508S18510488x493
З,,326,M512x517S10010488x487S22232507x483
И,,327,M511x513S1b110490x487
Й,,328,M519x518S1b100482x492S2a204496x482
К,,329,M508x526S11510492x496S26900492x475
Л,,330,M508x515S10e04493x485
М,,331,M509x515S18604491x485
директор,Минск,53,M540x525S36d10479x476S10e04525x492S20610487x514
Москва,,360,M562x522S30005482x483S20600518x508S1f810544x507
Н,,332,M511x514S1a520490x486
О,,333,M511x515S1ce10489x485
П,,334,M508x515S11504493x485
Программный язык,,263,M554x565S15d20387x502S18010421x505S20612408x506S22b04421x515S30004482x483S20500497x522S10b08500x539S10e10539x534S22a06523x550
Р,,335,M511x514S1bb10490x486
Россия,русский,31,M540x537S30004482x483S10012489x522S26506525x522
С,,336,M509x510S16d10492x490
Т,,337,M508x515S18c04493x485
У,,338,M514x510S19a20486x490
Ф,,339,M512x510S18310488x491
Х,,340,M508x513S10a10493x487
Ц,,341,M508x524S11500493x494S22a04494x476
Ч,,342,M515x508S13f10486x493
Ш,,343,M508x515S18c00493x485
Щ,,344,M508x524S18c00493x494S22a04494x476
Ъ,,345,M520x518S1dc40496x488S2a200480x482
Ы,,346,M510x515S1a020490x486
Ь,,347,M520x518S1dc50480x488S2a208497x482
Э,,349,M513x510S1ed10487x491
Ю,,348,M512x511S19610489x490
Я,,350,M514x513S11a51487x487
аборт,,352,M532x529S15d48469x489S14e52501x471S2390c493x499
авария,,353,M533x519S20300477x482S20300509x482S22b16468x503S22b02503x503S20500496x484
авиация,,357,M539x541S1a051487x460S14c50462x510S26a03477x481S2d808493x517
автомат,автоматический,410,M534x529S14e02503x471S14e0a466x471S28904515x500S2891c468x500
автомобиль,"вождение, за рулем, водить, на машине, машина, на автомобиле",3,M539x527S20301505x473S20303474x474S23607510x497S23615460x496
автомобиль,,369,M528x533S1ce50506x503S1ce58472x503S26600507x467S26610477x467
адвокат,,411,M527x516S26620492x485S1f828474x501S1f820509x501
администрация,,412,M565x519S10e04550x489S36d00479x482S36d00479x512S20600523x498
адрес,,413,M530x528S15d5a503x509S37806472x514S15d04474x473S26606499x483S20500470x496
батарея,аккумулятор,458,M518x550S30004482x483S1a000490x521S20500495x520
аккуратный,аккуратность,414,M541x544S1e102494x519S33b00482x483S20e00522x512S22a04528x529
алкоголь,алкогольный,415,M542x536S10600514x510S30005482x483S20600520x494
альбом,,374,M526x531S2a300500x495S15d30507x469S15d38474x469
аминь,,416,M526x523S15d39475x478S11551499x498S20500485x501
анализ,анализировать,417,M531x521S11052504x480S1105a469x480S23524483x503
ангел,,418,M531x527S11501470x476S37803489x497S3780b482x497S11509506x476S20600490x473
антенна,,419,M529x535S2e100506x496S15020504x465S15d0a472x509S20800500x525
апельсин,,420,M528x519S20300486x504S16f02473x481S23004503x486
апрель,,421,M509x527S1f820491x473S11504493x497
аптека,,422,M521x515S10002480x500S36d00479x485S22f04453x489
арбуз,,423,M531x515S15a18469x486S1bb02503x494S21d02493x493
аренда,арендовывать,429,M514x543S14c39488x516S20351487x458S22a04492x485S20500491x505
арест,арестовывать,430,M537x519S1f020504x481S1f028468x481S2df10464x498S2df08516x498
аэропорт,,434,M525x515S1a050505x486S2e508476x487
бабочка,,443,M544x517S15d02472x493S15d0a501x493S20500495x484S22512456x495S22516531x495
бабушка,,449,M538x525S30005482x483S1f810520x510S21100524x490
балкон,,450,M524x521S20352477x479S2035a508x506S37806492x486S37806476x512S20600489x495
банан,,451,M528x520S23404473x483S1f802513x480S1f80a488x502
банк,,452,M521x539S15d51493x462S15d57480x516S20500495x496S26604505x488
банка,,453,M527x524S14f18473x508S1ed10496x477S20600505x499
бант,,454,M540x518S30007482x483S15020515x464S20500503x468
баран,,455,M562x518S1f820522x487S1f828459x487S2ff00482x483S2ea00547x481S2ea18439x481
баскетбол,,456,M533x516S14c50509x485S23504468x495
бассейн,,457,M555x513S18040506x494S18048463x494S2ea00540x488S2ea14445x487
башня,,459,M518x555S15d02491x489S15d0a483x513S22c00491x445S22a14491x540
бег,"бегать, бежать",460,M533x537S10650512x511S10658468x511S26600508x464S26610479x464S21900509x502S21900480x502
бедный,бедность,461,M549x519S16a1a531x481S3780e500x484S17610514x499S22600494x492S14c10452x488S26602480x501
бежевый,,462,M510x532S11710492x468S2e200490x500
без,"не иметь, нету",463,M540x541S2ff00482x483S15a32461x527S20332525x525S26606492x525
белый,цвет,67,M554x522S1c502526x478S36d00479x480S21100509x489S23400501x508
берег,,464,M535x522S15d04465x478S26606489x481S37806476x515S15d0a508x503
беременность,беременная,465,M516x528S14c02485x492S26500501x473S20e00502x516
спасибо,"благодарить, благодарность",472,M539x533S1f800521x469S30004482x483S30000482x483S20500496x470S20500495x522S22a04523x495
бой,"бойцовский, драка, драться",384,M528x525S26602498x509S20b00479x476S15d18472x495S15d52501x489
болезнь,"заболевание, болеть",55,M540x519S14c59492x493S20610459x499S1ce11517x482
болезнь,"болеть, больной",405,M527x523S14c59474x497S1ce51501x478S20600505x512
боль,,406,M541x524S14c59459x498S1ce51482x476S29f0a508x482S20500490x508
больной человек,пациент,56,M542x564S14c59492x448S20610457x453S1ce11519x437S1ed56501x503S22b04500x534
брат,семья,19,M548x584S22b03510x515S20500513x475S11511523x485S11549491x557S20500498x545S30007482x482
брюки,"штаны, одежда",37,M511x551S1a020490x448S1a004491x522S22b04490x485
будет,,426,M557x518S2ff00482x483S15a10524x486S26600541x484
пример,"примерно, бы",88,M514x525S15a09490x498S15a01487x502S20c00486x475
был,,427,M519x516S15d52492x484S20500495x503S21412482x499
быть,,85,M513x516S15d52486x483S20500497x505
дом,"в доме, домой",4,M523x519S15a11500x496S15a19476x496S20500495x481
равновесие,весы,75,M545x524S23614456x507S15a50519x475S23600506x506S15a50470x476
видеть,смотреть,372,M561x528S31400482x483S10e00525x491S26600545x492S21404509x523
вкусный,,433,M548x533S10120522x496S33b00482x483S21406543x510S22a04509x518S20500529x491
война,военный,365,M523x517S1ea10500x486S29f0c477x484
волк,"волчица, волчий",382,M544x518S33100482x483S16d10527x490S26600527x455
вопрос,,380,M514x551S10050493x449S15d3a487x532S29f04491x484S20500496x520
восемь,,264,M533x522S14c00467x478S20500492x502S11e20510x492
по наследству,всегда,62,M552x516S10002522x492S1000a448x493S2eb00505x483S2eb44483x484
встречаться,,21,M535x544S10010520x491S10018485x456S20500490x507S26601503x522S26615465x483
вход,входить,377,M536x522S15a5a465x510S15d40498x481S20e00478x490S26600520x478
вчера,,424,M572x526S30005482x483S1f704529x510S20500516x510S2ef00554x506
печь,"выпекать, пирог",49,M543x525S15a30518x497S15a30471x498S27100503x475S27110457x475
выше,,50,M543x535S18210520x520S2ff00482x482S22b00524x483
где,,440,M515x523S1de02485x478S17610499x507
где,,441,M514x526S19a20486x506S26600493x475
глаз,,28,M528x529S31410482x482S10001507x499
год,,402,M551x522S1f510529x507S2e408522x470S2ff00482x483
грудь,,354,M514x533S15d02487x467S22b04495x503S20500498x489
грязный,грязно,18,M520x524S14c37493x477S14c51479x482S20c00487x511
дактиль,,388,M527x517S17620477x501S26606497x501S22500473x484S22500484x484
дед,"дедушка, семья",44,M547x550S14c5c488x517S22520515x537S30004482x482S20500511x512
делать,"работать, работа",22,M524x517S20300477x502S20300477x483S20c00496x492
добрый,добро,398,M519x523S17159484x507S17151499x478S20500504x498S22a03482x489
дракон,,362,M532x510S16d10515x490S2ec0a468x495
если,или,15,M547x524S15a30467x476S15a30521x476S23600508x507S23614453x507
есть,"имеется, у меня есть",83,M524x594S20500477x567S15a37479x571S15a01501x557S30120482x477
хотеть,"желать, желание",25,M521x520S20602482x496S18001494x488S36d00479x481
желтый,цвет,69,M544x522S19a01497x482S19a09469x484S20500493x478S27100504x507S27114456x507
муж,жена,373,M524x532S15a59488x509S1ce51496x469S20500514x498S26603476x494
женщина,женский,438,M521x544S30004482x483S14710493x522S20500511x518
жест,"жестовый язык, язык жестов",379,M529x532S14c40505x468S14c48471x468S2ea00511x506S2ea1c474x507
жидкий,жидкость,390,M534x520S14c50510x483S14c58467x482S23622491x481
завтра,,425,M546x527S30005482x483S1f710526x512S20e00511x515S26500527x495S1f740526x478
звук,,370,M557x518S33000476x483S1ce10528x477S1ce18449x477S27100517x458S27114442x459
зеленый,цвет,68,M562x520S30006482x482S10011519x490S20e00527x485S26a05541x489
змея,,361,M524x523S10040509x477S29503477x497
знать,,32,M553x529S30007482x482S10021523x480S10051520x508S26504523x495
идти,"ходить пешком, ходить, хождение, идти пешком, хождение пешком",47,M546x518S2711c454x481S27100506x481S15d32504x499S15d3a469x499
или,,399,M533x532S1dc09482x502S10041512x486S23703468x469
международный,интернациональный,356,M531x531S15040505x470S15048470x471S2ea00511x506S2ea40474x506
искать,поиск,59,M548x534S11020521x466S11028459x466S2e600519x500S2e61c452x501
искусственный,,432,M526x529S1a051475x477S26a07505x472S20359488x508
искусство,,431,M532x531S1ce20506x470S1ce28472x470S29904518x498S2991c468x499
каша,,35,M540x517S12120516x472S20500507x471S2ff00482x482S21900520x463
клавиатура,,265,M545x535S14c00474x504S14c08509x504S22530503x484S22530456x484S2fb00492x465
клуб,,385,M529x532S10e20510x468S10e28473x469S2a508508x497S2a510471x499
колоть,колючий,445,M524x534S10040506x466S10048480x466S2fd00490x528S2e208504x496S2e210477x496
кофе,"коричневый, цвет",16,M515x515S20300500x484S20300494x500S21100484x484
коробка передач,трансмиссия,376,M511x525S20350489x476S27b0c495x499
костюм,,387,M526x546S1a000488x506S1a00c488x468S36d00479x455S36d00479x542S20500515x518S20500516x474
кофе,,448,M518x518S20310488x483S20318483x503S21100505x499
кофта,,248,M548x552S15d51525x448S15d59458x449S36d00482x457S15d0b452x515S15d03523x513S36d00477x548S20500478x468S20500515x468S20500478x532S20500508x531S2a602514x490S2a612479x489
красный,,358,M518x564S1de00487x534S33b00482x483S22600491x523S22600500x523
куда,,442,M514x525S19a50486x505S2e500487x475
покупать,"купить, покупка",378,M538x518S15d38462x492S18550490x484S26900522x482
лес,,79,M556x528S14c10445x473S14c18486x472S37700456x503S37700496x503S26726514x511S2e230522x476
лиса,"лис, лисица, лисовин",446,M545x518S33100482x483S14c00522x482S26500527x465S15602523x447
лиса,"лисица, лисовин, лис, лисий",447,M562x518S33100482x483S1ce10523x480S26a06548x485
лиса,"лисица, лисий, лисовин",366,M551x518S33100482x483S14c00528x482S15600532x423S26600531x449
лучший,,428,M528x522S15a18473x480S15a50500x495S22b00512x479S20500488x498
мама,"мать, семья",6,M521x540S26502492x522S15a10509x513S20500507x502S20500483x502S33b00482x482
механизм,"механика, механический, машина",383,M538x532S14e02507x468S14e0a462x468S20700491x492S23024488x514
медленно,медленный,27,M535x540S3780b465x510S15a57490x492S15a5f512x479S20e00490x484S26703491x505S2f800496x459
место,,60,M545x527S14c50514x472S14c58464x472S23604506x510S23614454x510
месяц,,471,M539x532S30004482x483S30000482x483S1f520515x511S20500495x469S22a00524x487S20500496x521
мешать,"помешать, помеха",87,M519x522S11549481x492S11541495x495S20600492x477
минута,,468,M528x515S18650473x485S26606498x497
планета,мир,78,M555x515S15010530x484S15018444x484S2b800506x486S2b801471x486
мир,"мирный, перемирие",375,M513x535S17139491x498S17151491x465S22f24488x521S20500497x484
нравиться,мне нравится,66,M518x617S33e00482x482S1bb00487x530S21b00496x523S1bb00488x589S25900494x563
можно,может,84,M570x580S20350462x562S20350520x562S2c300544x556S2c311424x557S30120482x477
мужчина,мужской,437,M533x518S30007482x483S14721512x471S20500498x470
мыть посуду,,391,M528x514S15d48473x487S20340513x495S21100496x496
наручные часы,часы,45,M531x525S3780b479x495S20601469x502S1ce51484x487S14c59504x475
нарушение,"нарушиться, нарушено, повреждение, повредить, повреждено",86,M531x540S15a37477x468S14c51504x461S20500473x465S15a37475x515S20321503x519S20500468x512
неделя,,470,M523x523S1f501501x478S22b03478x499S2fb00503x516
странный,необычный,73,M561x521S29904547x488S2991c440x489S26506534x479S26512452x480S10021504x484S10029469x484
нет,,389,M529x514S15d20472x487S26606499x495
новый,новость,396,M533x528S28a0f468x473S15d3a467x507S15d32502x487S22b16503x512
ночь,"темный, темно",51,M535x561S30e00482x482S22a04517x522S22a14470x522S14c01508x492S14c09467x492S20301514x540S20303466x539
общество,общественный,407,M550x532S15740504x468S15748478x468S18558451x509S18550525x510S2d509528x488S2d511455x488S26602505x516S26616469x516S20500497x510
футболка,одежда,54,M553x518S36d00471x482S37800471x485S37800528x486S20600531x485S20600447x485S36d00488x482S10e32462x498S37905490x507S3790d471x507S10e3a509x498
одежда,,368,M534x525S18542511x476S1854a472x477S22f04509x509S22f14466x511
одинокий,одинок,43,M541x523S36d00479x477S10000488x493S20610507x510
операция,,363,M537x520S10e02507x482S14c18463x480S10e22507x505S20500494x507S20500494x485
отдых,,52,M518x538S20319496x472S20311483x472S37703496x488S3770b481x487S20500496x463S2712e492x499
папа,"отец, семья",14,M542x528S2ff00482x482S20500495x485S20500495x503S15a12515x482S22b04523x498
очень,,91,M530x531S10049473x483S16d51469x468S2c303508x509S37703486x484
память,помнить,393,M534x518S30007482x483S1f811513x464S20500524x490
пельмени,,30,M538x531S33010479x482S1eb17518x504S20500522x490S20900510x475
перевод,переводить,394,M530x528S10040508x473S10048475x473S20500494x491S23004505x510S23010470x510
перец,,408,M590x563S33b00482x483S14c00489x524S26904515x534S16d20564x510S26a02565x536S21406585x513
плохо,плохой,74,M531x527S33100482x482S10610489x501S22a04518x502S20500469x497
плохой,плохо,77,M510x509S19210489x490
попасть,,29,M527x577S33100482x482S10001506x507S20500495x500S22b03502x542S15a37474x554S20500479x562
похожий,,12,M518x522S10058481x492S10050503x492S20600489x477
приходить,,409,M533x518S11036506x499S2d600487x482S11052467x499
приятно,приятный,64,M511x541S15d01488x459S21100494x489S22b04493x511
программа,программный,404,M542x518S15d08458x486S18010494x483S20500481x483S20500481x495S20500481x507S22b04526x483
пространство,,61,M523x526S14c58476x495S2e912483x475
равенство,,76,M524x518S15a50512x484S15a50475x484S20612495x481
река,,39,M516x528S1ec32497x505S2dd07483x472
розовый,цвет,70,M562x517S30006482x482S1c310520x484S21100515x474S2e730546x489
трудно,"с трудом, трудный",90,M529x540S34600482x482S10000486x510S20600507x516
теперь,"сейчас, сегодня",58,M544x526S18038456x475S22b04515x496S18030514x475S22b14469x496
секунда,,467,M528x510S16d10511x490S26602473x492
семья,,367,M534x529S14c02503x471S14c0a466x471S18502512x505S1850a473x505
сестра,,20,M543x614S22b03504x544S20500517x509S11549484x587S11511518x520S20600489x573S30005482x482
синий,цвет,38,M514x528S1ed10486x472S23607485x498
слушать,,371,M546x518S33010479x483S14c20523x482
ухо,слышать,5,M542x527S33010479x482S10111524x499S20600515x478
спать,сон,400,M539x548S15a19504x514S15a17515x525S20500529x503S30006482x483
специальный,,364,M529x548S10e50514x466S10e58471x466S21b00476x453S21b00517x452S22c14471x506S22c04513x505
спорить,спор,46,M526x518S10610511x484S10618474x484S20612495x481
спрашивать,,381,M535x560S15d00494x532S30004482x483S20500495x519S26600519x530
старый,,401,M563x523S30005482x483S20500514x512S1f810529x507S22a04550x508
стол,,13,M539x521S1a012505x479S26612460x505S26606509x505S1a01a465x479
страдание,,82,M548x534S10044518x488S1004c465x488S20500515x523S20500474x523S27100508x466S27114452x466
территория,страна,71,M524x526S14c50500x495S2e906477x475
стыд,,92,M556x518S32b10482x483S21100522x493S18042541x485
телевидение,телевизор,386,M532x510S1a002503x490S1a00a468x490S20500495x496
телефон,,403,M540x521S33010479x483S19a02520x493
только,"хотя, хоть",57,M530x529S25504517x507S15a48471x472S15a40518x472S25514470x507
туалет,,439,M542x518S11511517x469S30007482x483S20600492x467
ты,,436,M509x524S10050491x494S26500495x477
укол,,444,M539x529S11e00516x499S26601492x488S13f00462x471S22104509x486
университет,,72,M543x516S12810520x492S12818456x491S2e804502x483S2e840482x483
утро,,397,M558x518S15a10525x487S2ff00482x483S22b00542x485
хвалиться,,257,M553x523S1f502460x478S1f502528x477S20e00478x490S20e00515x489S26f00513x509S26f10447x509
цвет,,36,M533x536S33b00482x483S22504478x521S20e00521x498S14c4f499x510
черный,цвет,48,M533x517S17110516x479S20600498x466S30007482x482
час,,469,M522x536S10020482x464S10040479x506S28c0c501x493
часто,,63,M531x534S1ce20509x465S22d03469x497
часы,,466,M536x527S14c29509x474S3780b483x497S1ce41485x489S20600464x502
человек,,33,M510x530S1ed56491x469S22b04490x500
человек,,395,M519x515S1ec46500x488S22b04481x485
чистый,чисто,17,M518x525S15a37494x497S15a51482x502S26507505x474S21100490x486
что,,65,M512x537S10020496x507S2d500489x463S2d508490x475S2d500490x487
чувство,"чувствовать, чувствительный",89,M524x531S15a57479x508S20500476x505S10013494x498S26500510x480S2f700511x469
этот,"эта, эти",80,M528x532S10049472x480S10031484x480S20500475x467S2c303506x510
юбка,,26,M546x531S36d10479x469S20500486x485S20500507x485S22b13453x507S22b05522x505S15a5f521x485S15a59457x485
я,,435,M508x524S10000493x494S20500497x476
яблоко,,34,M553x551S30006482x482S20e00514x476S22b04519x521S22b04537x521S15041519x490
язык,,392,M518x556S10000489x526S33b00482x483S20500508x520
